Entity,Code,Year,Low-carbon energy (TWh - equivalent)
Africa,,1965,41.118813
Africa,,1966,45.86292
Africa,,1967,47.875538
Africa,,1968,56.00047
Africa,,1969,65.35209
Africa,,1970,81.70288
Africa,,1971,77.44483
Africa,,1972,88.15176
Africa,,1973,93.23159
Africa,,1974,106.02579
Africa,,1975,112.08069
Africa,,1976,124.1857
Africa,,1977,136.41418
Africa,,1978,137.55159
Africa,,1979,147.20549
Africa,,1980,143.51822
Africa,,1981,149.11578
Africa,,1982,149.21266
Africa,,1983,134.52957
Africa,,1984,143.4406
Africa,,1985,162.16228
Africa,,1986,178.1881
Africa,,1987,164.5315
Africa,,1988,190.13309
Africa,,1989,199.75674
Africa,,1990,195.70094
Africa,,1991,207.77875
Africa,,1992,200.03926
Africa,,1993,191.0985
Africa,,1994,200.41516
Africa,,1995,211.93488
Africa,,1996,221.57854
Africa,,1997,229.01508
Africa,,1998,241.03244
Africa,,1999,250.76775
Africa,,2000,267.09027
Africa,,2001,276.3344
Africa,,2002,290.25522
Africa,,2003,284.37762
Africa,,2004,299.66605
Africa,,2005,296.88904
Africa,,2006,303.37982
Africa,,2007,312.4644
Africa,,2008,321.35452
Africa,,2009,327.77112
Africa,,2010,353.1374
Africa,,2011,359.44684
Africa,,2012,360.76334
Africa,,2013,382.60785
Africa,,2014,406.58377
Africa,,2015,408.80606
Africa,,2016,417.57806
Africa,,2017,447.62488
Africa,,2018,473.7801
Africa,,2019,509.74612
Africa,,2020,540.0451
Africa,,2021,556.91504
Africa (BP),,1965,41.118813
Africa (BP),,1966,45.86291
Africa (BP),,1967,47.875538
Africa (BP),,1968,56.000465
Africa (BP),,1969,65.35209
Africa (BP),,1970,81.70288
Africa (BP),,1971,77.44483
Africa (BP),,1972,88.15176
Africa (BP),,1973,93.2316
Africa (BP),,1974,106.02579
Africa (BP),,1975,112.08069
Africa (BP),,1976,124.1857
Africa (BP),,1977,136.41418
Africa (BP),,1978,137.55159
Africa (BP),,1979,147.20549
Africa (BP),,1980,143.51822
Africa (BP),,1981,149.11578
Africa (BP),,1982,149.21266
Africa (BP),,1983,134.52957
Africa (BP),,1984,143.4406
Africa (BP),,1985,162.16228
Africa (BP),,1986,178.1881
Africa (BP),,1987,164.5315
Africa (BP),,1988,190.13307
Africa (BP),,1989,199.75674
Africa (BP),,1990,195.70094
Africa (BP),,1991,207.77876
Africa (BP),,1992,200.03926
Africa (BP),,1993,191.0985
Africa (BP),,1994,200.41516
Africa (BP),,1995,211.93489
Africa (BP),,1996,221.57854
Africa (BP),,1997,229.01509
Africa (BP),,1998,241.03244
Africa (BP),,1999,250.76775
Africa (BP),,2000,267.09027
Africa (BP),,2001,276.33438
Africa (BP),,2002,290.7461
Africa (BP),,2003,284.919
Africa (BP),,2004,300.3028
Africa (BP),,2005,297.13193
Africa (BP),,2006,303.45215
Africa (BP),,2007,313.25558
Africa (BP),,2008,321.9646
Africa (BP),,2009,328.11142
Africa (BP),,2010,353.34818
Africa (BP),,2011,359.9515
Africa (BP),,2012,361.37006
Africa (BP),,2013,383.19647
Africa (BP),,2014,407.15225
Africa (BP),,2015,409.52054
Africa (BP),,2016,418.21692
Africa (BP),,2017,448.2535
Africa (BP),,2018,474.75833
Africa (BP),,2019,510.58987
Africa (BP),,2020,541.0826
Africa (BP),,2021,557.976
Algeria,DZA,1965,1.1827958
Algeria,DZA,1966,1.0497311
Algeria,DZA,1967,1.2123655
Algeria,DZA,1968,1.664785
Algeria,DZA,1969,1.067473
Algeria,DZA,1970,1.7150539
Algeria,DZA,1971,0.97580636
Algeria,DZA,1972,1.4637097
Algeria,DZA,1973,2.2236557
Algeria,DZA,1974,1.4696236
Algeria,DZA,1975,0.9698925
Algeria,DZA,1976,1.1502688
Algeria,DZA,1977,0.79543
Algeria,DZA,1978,0.73924726
Algeria,DZA,1979,0.8604839
Algeria,DZA,1980,0.75994605
Algeria,DZA,1981,1.0822581
Algeria,DZA,1982,1.4163978
Algeria,DZA,1983,0.69489247
Algeria,DZA,1984,1.336559
Algeria,DZA,1985,1.910215
Algeria,DZA,1986,0.73924726
Algeria,DZA,1987,1.4755375
Algeria,DZA,1988,0.5411292
Algeria,DZA,1989,0.6682794
Algeria,DZA,1990,0.39919358
Algeria,DZA,1991,0.86639774
Algeria,DZA,1992,0.58844084
Algeria,DZA,1993,1.0438172
Algeria,DZA,1994,0.49086028
Algeria,DZA,1995,0.57069886
Algeria,DZA,1996,0.39919358
Algeria,DZA,1997,0.22177416
Algeria,DZA,1998,0.6357528
Algeria,DZA,1999,0.6002689
Algeria,DZA,2000,0.1596775
Algeria,DZA,2001,0.2027075
Algeria,DZA,2002,0.16637361
Algeria,DZA,2003,0.76853275
Algeria,DZA,2004,0.72329473
Algeria,DZA,2005,1.5900536
Algeria,DZA,2006,0.61916
Algeria,DZA,2007,0.63904226
Algeria,DZA,2008,0.79524636
Algeria,DZA,2009,0.9551075
Algeria,DZA,2010,0.5054253
Algeria,DZA,2011,1.0927546
Algeria,DZA,2012,1.1398855
Algeria,DZA,2013,0.34776333
Algeria,DZA,2014,0.68811
Algeria,DZA,2015,0.59784
Algeria,DZA,2016,0.8996238
Algeria,DZA,2017,1.5408869
Algeria,DZA,2018,1.9313679
Algeria,DZA,2019,2.048152
Algeria,DZA,2020,1.949494
Algeria,DZA,2021,1.7892791
Argentina,ARG,1965,3.6226554
Argentina,ARG,1966,3.6694171
Argentina,ARG,1967,3.7574394
Argentina,ARG,1968,4.428607
Argentina,ARG,1969,3.971993
Argentina,ARG,1970,4.783944
Argentina,ARG,1971,4.760254
Argentina,ARG,1972,4.6860037
Argentina,ARG,1973,9.054804
Argentina,ARG,1974,17.903564
Argentina,ARG,1975,22.707188
Argentina,ARG,1976,22.321705
Argentina,ARG,1977,21.90163
Argentina,ARG,1978,31.328325
Argentina,ARG,1979,39.454178
